Silver Futures Historical Data
Date,Price,Open,High,Low,Vol.,Change %,Candle %
"May 05, 2013",23.632,24.095,24.375,23.14,1.74K,-1.43%,-1.959%
"Apr 28, 2013",23.975,23.97,24.55,23.23,24.72K,0.91%,0.021%
"Apr 21, 2013",23.758,23.1,24.2,22.79,0.05K,3.50%,2.770%
"Apr 14, 2013",22.955,24.5,24.64,22.6,0.20K,-12.79%,-6.731%
"Apr 07, 2013",26.322,27.235,27.935,26.085,0.26K,-3.23%,-3.469%
"Mar 31, 2013",27.201,27.96,27.975,26.7,0.34K,-3.86%,-2.790%
"Mar 24, 2013",28.292,28.46,28.785,28.12,0.30K,-1.30%,-0.594%
"Mar 17, 2013",28.666,28.815,29.19,28.425,0.65K,-0.52%,-0.520%
"Mar 10, 2013",28.817,28.86,29.29,28.57,0.34K,-0.32%,-0.149%
"Mar 03, 2013",28.909,28.635,29.19,28.35,0.99K,1.61%,0.948%
"Feb 24, 2013",28.451,28.975,29.39,27.955,27.65K,-0.02%,-1.842%
"Feb 17, 2013",28.456,30.04,30.045,28.315,0.07K,-4.63%,-5.566%
"Feb 10, 2013",29.839,31.16,31.175,29.77,0.27K,-5.05%,-4.427%
"Feb 03, 2013",31.425,31.705,32.02,31.345,0.09K,-1.62%,-0.891%
"Jan 27, 2013",31.942,31,32.26,30.9,0.07K,2.44%,2.949%
"Jan 20, 2013",31.18,31.835,32.315,31.65,0.02K,-2.26%,-2.101%
"Jan 13, 2013",31.902,30.62,32.06,30.62,0.14K,5.05%,4.019%
"Jan 06, 2013",30.367,30.395,30.825,29.91,0.33K,1.58%,-0.092%
"Dec 30, 2012",29.896,30.09,31.335,29.21,0.17K,-0.08%,-0.649%
"Dec 23, 2012",29.92,30.085,30.205,29.925,0.30K,-0.74%,-0.551%
"Dec 16, 2012",30.142,32.29,32.46,29.62,1.52K,-6.46%,-7.126%
"Dec 09, 2012",32.223,33.14,33.7,32.255,2.30K,-2.51%,-2.846%
"Dec 02, 2012",33.053,33.5,33.85,32.53,1.69K,-0.45%,-1.352%
"Nov 25, 2012",33.204,34.005,34.395,33.14,17.65K,-2.66%,-2.412%
"Nov 18, 2012",34.111,33.335,33.385,32.99,0.01K,5.41%,2.275%
"Nov 11, 2012",32.361,32.215,32.865,32.195,0.02K,-0.70%,0.451%
"Nov 04, 2012",32.59,30.785,32.665,30.785,0.10K,5.69%,5.539%
"Oct 28, 2012",30.835,31.77,32.47,30.9,0.06K,-3.67%,-3.032%
"Oct 21, 2012",32.011,32.15,32.305,31.65,0.06K,-0.19%,-0.434%
"Oct 14, 2012",32.073,32.57,33.2,32.04,0.07K,-4.64%,-1.550%
"Oct 07, 2012",33.633,33.88,34.05,33.625,0.32K,-2.56%,-0.734%
"Sep 30, 2012",34.516,34.375,34.98,34.375,0.16K,0.00%,0.409%
"Sep 23, 2012",34.517,33.905,34.75,33.675,0.62K,-0.14%,1.773%
"Sep 16, 2012",34.567,34.665,35.09,34,1.08K,-0.10%,-0.284%
"Sep 09, 2012",34.603,33.655,34.75,32.51,0.69K,2.88%,2.740%
"Sep 02, 2012",33.633,31.66,33.685,31.52,1.33K,7.21%,5.866%
"Aug 26, 2012",31.37,30.9,31.7,30.195,15.46K,2.50%,1.498%
"Aug 19, 2012",30.606,28.385,30.75,28.385,0.11K,9.33%,7.257%
"Aug 12, 2012",27.995,27.845,28.14,27.685,0.09K,-0.21%,0.536%
"Aug 05, 2012",28.055,27.895,28.045,27.75,0.02K,0.95%,0.570%
"Jul 29, 2012",27.79,27.57,28.23,26.965,0.20K,1.14%,0.792%
"Jul 22, 2012",27.478,26.95,27.62,26.775,0.32K,0.73%,1.922%
"Jul 15, 2012",27.279,27.13,27.395,26.77,1.37K,-0.24%,0.546%
